County,targetFormation,totalDepth,TVD,spudDate,completionDate,perfInterval,horizontalLength,firstProdDate,lastProdDate,stage,stageLength,stageper1kPI,maxInjRate,maxInjPres,totalProp,propperPI,propperStage,totalFluid,fluidperPI,fluidperStage,proppantConcentrationLbsPerBbl,peakGas,peakOil,First6Gas,First6Gasperstage,First6GasperPI,First6GasperTP,First6GasperTF,First6Oil,First6Oilperstage,First6OilperPI,First6OilperTP,First6OilperTF,First6Water,First6Wperstage,First6WperPI,First6WperTP,First6WperTF,First12BOE,First12Gas,First12Gperstage,First12GperPI,First12GperTP,First12GperTF,First12Oil,First12Operstage,First12OperPI,First12OperTP,First12OperTF,oilGravity
MCKENZIE,THREE FORKS,21155,10893.96,10/18/2014,3/16/2015,9933,10641.31,5/1/2015,5/1/2018,48,206.9375,4.832376925,37.1,9290,9880900,994.7548575,205852.0833,121991,12.28138528,2541.479167,80.99695879,38617,32445,153858,3205.375,15.48958019,15.57125363,1261.224189,121462,2530.458333,12.22812846,12292.60492,995.6636145,78917,1644.104167,7.944931038,7.986823063,646.9083785,200341,213660,4451.25,21.51011779,21.62353632,1751.44068,164731,3431.895833,16.58421424,16671.65946,1350.353715,42
MCKENZIE,THREE FORKS,21668,11264.4,2/21/2015,10/13/2015,10014,10873.2,10/1/2015,5/1/2018,40,250.35,3.994407829,38,9088,3514515,350.9601558,87862.875,75023,7.491811464,1875.575,46.84583394,23910,19403,57296,1432.4,5.721589774,16.30267619,763.7124615,49870,1246.75,4.980027961,14189.72461,664.729483,23306,582.65,2.327341722,6.631355962,310.6514002,140673,138228,3455.7,13.80347513,39.33060465,1842.474974,117635,2940.875,11.74705412,33471.19019,1567.985818,
MCKENZIE,THREE FORKS,21662,11206.86,2/17/2015,9/11/2015,9982,10897.86,9/1/2015,5/1/2018,48,207.9583333,4.80865558,47,9032,4727577,473.6101984,98491.1875,100552,10.073332,2094.833333,47.01624035,26063,11480,29303,610.4791667,2.935584051,6.198312582,291.4213541,21076,439.0833333,2.111400521,4458.097668,209.6029915,18057,376.1875,1.808956121,3.819504156,179.5787254,69674,129022,2687.958333,12.92546584,27.29135877,1283.137083,48171,1003.5625,4.825786416,10189.36339,479.0655581,
MCKENZIE,BAKKEN,21665,11129.2,2/14/2015,10/13/2015,10078,10936.85,10/1/2015,5/1/2018,40,251.95,3.969041476,41,9585,3819502,378.9940464,95487.55,84835,8.417840841,2120.875,45.02271468,35609,28182,82212,2055.3,8.157570947,21.52427201,969.0811575,69382,1734.55,6.884500893,18165.19536,817.8464077,18112,452.8,1.797181981,4.741979452,213.4967879,186980,188303,4707.575,18.68456043,49.30040618,2219.638121,155597,3889.925,15.43927367,40737.50976,1834.113279,
MCKENZIE,THREE FORKS,20414,10633.2,12/30/2014,6/19/2015,9796,9862.7,6/1/2015,5/1/2018,35,279.8857143,3.572886893,28,8419,2420449,247.085443,69155.68571,41307,4.216721111,1180.2,58.59658169,49203,30337,201629,5760.828571,20.58278889,83.30231292,4881.230784,113882,3253.771429,11.62535729,47049.94817,2756.966132,12392,354.0571429,1.265006125,5.11971126,299.9975791,204747,289103,8260.085714,29.51235198,119.4418887,6998.886387,156564,4473.257143,15.98244181,64683.86651,3790.253468,
MCKENZIE,BAKKEN,20160,10375.47,12/10/2014,3/18/2015,9256,10047.11,3/1/2015,5/1/2018,30,308.5333333,3.241140882,60.4,8900,3177500,343.2908384,105916.6667,60843,6.573357822,2028.1,52.22457801,9651,12987,37599,1253.3,4.062121867,11.83288749,617.9675558,48494,1616.466667,5.239196197,15261.68371,797.0349917,63134,2104.466667,6.820872947,19.86907946,1037.654291,85639,64892,2163.066667,7.010803803,20.42234461,1066.548329,74824,2494.133333,8.083837511,23548.07238,1229.788143,38.7
MCKENZIE,BAKKEN,20300,10366.71,11/22/2014,3/10/2015,9428,10059.93,3/1/2015,5/1/2018,30,314.2666667,3.182011031,62.1,8675,3177500,337.0280017,105916.6667,65871,6.986741621,2195.7,48.23822319,12790,15287,41670,1389,4.419813322,13.1140834,632.600082,49524,1650.8,5.25286381,15585.83792,751.8331284,80382,2679.4,8.525880356,25.29724626,1220.294211,86915,72588,2419.6,7.699193891,22.84437451,1101.972036,74817,2493.9,7.93561731,23545.86939,1135.810903,37.4
MCKENZIE,BAKKEN,21775,10369.93,11/2/2014,3/10/2015,10678,10410.25,3/1/2015,5/1/2018,30,355.9333333,2.80951489,61.2,8741,3174040,297.2504214,105801.3333,62448,5.848286196,2081.6,50.826928,9322,11348,32289,1076.3,3.023880877,10.17283966,517.0541891,37669,1255.633333,3.527720547,11867.84035,603.2058673,55511,1850.366667,5.198632703,17.48906756,888.9155778,62967,48121,1604.033333,4.506555535,15.16080453,770.5771202,54947,1831.566667,5.145813823,17311.37604,879.8840635,39.4
MCKENZIE,BAKKEN,20310,10725.67,12/3/2014,2/17/2015,9295,9225.32,7/1/2015,5/1/2018,35,265.5714286,3.765465304,41,8344,4109630,442.1334051,117418,59916,6.446046261,1711.885714,68.58985914,30649,14632,58003,1657.228571,6.240236686,14.11392266,968.0719674,44093,1259.8,4.74373319,10729.18973,735.9136124,17716,506.1714286,1.905970952,4.310850369,295.6806195,133885,192086,5488.171429,20.6655191,46.74046082,3205.921624,101871,2910.6,10.95976331,24788.36294,1700.230322,
MCKENZIE,THREE FORKS,20245,10790.7,12/5/2014,2/17/2015,9041,9172.49,7/1/2015,4/1/2018,35,258.3142857,3.87125318,41,8524,4075380,450.7665081,116439.4286,58355,6.454485123,1667.285714,69.83771742,22365,12852,27231,778.0285714,3.011945581,6.681830897,466.643818,24363,696.0857143,2.694724035,5978.09284,417.4963585,15057,430.2,1.665413118,3.694624796,258.0241625,79184,99424,2840.685714,10.9970136,24.39625262,1703.778597,62614,1788.971429,6.925561332,15363.96606,1072.98432,
MCKENZIE,BAKKEN,20976,10722.59,12/13/2014,4/1/2015,9760,10381.32,7/1/2015,5/1/2018,36,271.1111111,3.68852459,41,8741,4191340,429.4405738,116426.1111,68600,7.028688525,1905.555556,61.09825073,54726,22804,79012,2194.777778,8.095491803,18.85125044,1151.778426,55963,1554.527778,5.733913934,13352.05447,815.787172,12227,339.6388889,1.252766393,2.917205476,178.2361516,220402,297757,8271.027778,30.50788934,71.04100359,4340.48105,170776,4743.777778,17.49754098,40744.96462,2489.446064,
MCKENZIE,BAKKEN,21161,10702.37,12/12/2014,4/1/2015,10242,10269.96,7/1/2015,5/1/2018,36,284.5,3.514938489,42,8510,4198640,409.9433704,116628.8889,62078,6.061120875,1724.388889,67.63491092,41322,17281,67800,1883.333333,6.61980082,16.14808605,1092.174361,49542,1376.166667,4.837141183,11799.53509,798.0605045,20933,581.4722222,2.043839094,4.985662024,337.2048069,154976,189313,5258.694444,18.4839875,45.0891241,3049.598892,123424,3428.444444,12.05077133,29396.18543,1988.208383,
MCKENZIE,BAKKEN,21078,10739.51,12/11/2014,4/1/2015,10066,10267.84,7/1/2015,5/1/2018,35,287.6,3.47705146,41,8590,4108860,408.1919332,117396,60651,6.025332803,1732.885714,67.74595637,25786,17428,70575,2016.428571,7.011225909,17.17629708,1163.624672,50013,1428.942857,4.968507848,12171.98931,824.6030568,23373,667.8,2.321974965,5.688439129,385.3687491,121646,161566,4616.171429,16.05066561,39.32136894,2663.863745,94719,2706.257143,9.409795351,23052.37949,1561.705495,
MCKENZIE,THREE FORKS,20880,10795.62,12/10/2014,4/1/2015,9654,10309.15,7/1/2015,5/1/2018,35,275.8285714,3.625440232,41,8676,4076900,422.3016366,116482.8571,63005,6.526310338,1800.142857,64.70756289,28200,18364,75064,2144.685714,7.775429874,18.41202875,1191.397508,51655,1475.857143,5.350631862,12670.16606,819.855567,27011,771.7428571,2.797907603,6.625377125,428.712007,113456,125796,3594.171429,13.0304537,30.8557973,1996.603444,92490,2642.571429,9.580484773,22686.35483,1467.978732,
MCKENZIE,BAKKEN,20854,10699.91,1/13/2015,4/17/2015,9890,10125.5,7/1/2015,5/1/2018,35,282.5714286,3.53892821,43,8408,4073440,411.8746208,116384,72960,7.377148635,2084.571429,55.83114035,21521,19937,26621,760.6,2.691708797,6.535262579,364.8711623,27754,792.9714286,2.806268959,6813.405868,380.4002193,14094,402.6857143,1.425075834,3.459974862,193.1743421,102085,78159,2233.114286,7.902831143,19.18746809,1071.258224,89059,2544.542857,9.004954499,21863.33909,1220.655154,
